Year,SERIES,Indikator pariteta kupovne moći,UNIT_MEASURE,Value
2016,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,8.9
2017,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,9.2
2018,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,9.8
2019,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,10.2
2020,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,9.9
2021,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,11.0
2022,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,12.5
2023,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,13.6
2024,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,14.6
2025,sdg_10_10,Realni rashodi po glavi stanovnika (u PPS_EU27_2020),PT,15.1
2016,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,31.0
2017,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,31.0
2018,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,32.0
2019,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,32.0
2020,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,33.0
2021,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,33.0
2022,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,35.0
2023,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,35.0
2024,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,37.0
2025,sdg_10_10,Indeksi obima realnih rashoda po glavi stanovnika (u PPS_EU27_2020=100),PT,36.0
