Year,SERIES,Klasa opasnog otpada,UNIT_MEASURE,Value
2012,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,1161
2014,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,1447
2016,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,1744
2018,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,1930
2020,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,1835
2022,sdg_12_51,"Opasan i neopasan otpad, ukupno",KG_HAB,2047
2012,sdg_12_51,Opasan otpad,KG_HAB,246
2014,sdg_12_51,Opasan otpad,KG_HAB,2
2016,sdg_12_51,Opasan otpad,KG_HAB,4
2018,sdg_12_51,Opasan otpad,KG_HAB,4
2020,sdg_12_51,Opasan otpad,KG_HAB,3
2022,sdg_12_51,Opasan otpad,KG_HAB,4
2012,sdg_12_51,Neopasan otpad,KG_HAB,915
2014,sdg_12_51,Neopasan otpad,KG_HAB,1445
2016,sdg_12_51,Neopasan otpad,KG_HAB,1740
2018,sdg_12_51,Neopasan otpad,KG_HAB,1926
2020,sdg_12_51,Neopasan otpad,KG_HAB,1832
2022,sdg_12_51,Neopasan otpad,KG_HAB,2044
