Year,SERIES,UNIT_MEASURE,Value
2010,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,5.55
2011,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.35
2012,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.03
2013,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.03
2014,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,5.42
2015,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,5.25
2016,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.26
2017,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.46
2018,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.52
2019,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.22
2020,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.31
2021,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.55
2022,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.47
2023,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.24
2024,Neto emisije stakleničkih plinova,Tone po glavi stanovnika,6.14
2010,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,21.15
2011,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,23.75
2012,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,22.14
2013,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,21.8
2014,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,19.31
2015,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,18.46
2016,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,21.73
2017,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,22.15
2018,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,22.08
2019,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,20.81
2020,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,20.83
2021,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,21.27
2022,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,20.74
2023,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,19.88
2024,Neto emisije stakleničkih plinova,Milion tona ekvivalenta CO2,19.43
