Year,SERIES,Spol,UNIT_MEASURE,Value
2000,sdg_03_12,Oba pola,YR,65.6
2010,sdg_03_12,Oba pola,YR,66.9
2015,sdg_03_12,Oba pola,YR,66.9
2016,sdg_03_12,Oba pola,YR,67.0
2017,sdg_03_12,Oba pola,YR,67.1
2018,sdg_03_12,Oba pola,YR,67.2
2019,sdg_03_12,Oba pola,YR,67.0
2020,sdg_03_12,Oba pola,YR,65.9
2021,sdg_03_12,Oba pola,YR,65.0
2000,sdg_03_12,Muškarci,YR,63.9
2010,sdg_03_12,Muškarci,YR,65.3
2015,sdg_03_12,Muškarci,YR,65.5
2016,sdg_03_12,Muškarci,YR,65.6
2017,sdg_03_12,Muškarci,YR,65.8
2018,sdg_03_12,Muškarci,YR,65.8
2019,sdg_03_12,Muškarci,YR,65.7
2020,sdg_03_12,Muškarci,YR,64.4
2021,sdg_03_12,Muškarci,YR,63.9
2000,sdg_03_12,Žene,YR,67.1
2010,sdg_03_12,Žene,YR,68.3
2015,sdg_03_12,Žene,YR,68.2
2016,sdg_03_12,Žene,YR,68.0
2017,sdg_03_12,Žene,YR,68.0
2018,sdg_03_12,Žene,YR,69.0
2019,sdg_03_12,Žene,YR,68.0
2020,sdg_03_12,Žene,YR,67.4
2021,sdg_03_12,Žene,YR,66.1
