Year,SERIES,Razlog,Godine,Spol,UNIT_MEASURE,Value
2021,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Oba pola,Procenat ukupnog stanovništva,0.3
2022,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Oba pola,Procenat ukupnog stanovništva,0.3
2023,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Oba pola,Procenat ukupnog stanovništva,0.3
2024,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Oba pola,Procenat ukupnog stanovništva,0.2
2025,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Oba pola,Procenat ukupnog stanovništva,0.2
2021,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Žene,Procenat ukupnog stanovništva,0.6
2022,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Žene,Procenat ukupnog stanovništva,0.7
2023,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Žene,Procenat ukupnog stanovništva,0.6
2024,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Žene,Procenat ukupnog stanovništva,0.3
2025,Osobe izvan radne snage zbog obaveza brige o drugima po spolu,Briga o odraslima s invaliditetom ili djeci,od 20 do 64 godine,Žene,Procenat ukupnog stanovništva,0.3
