Year,SERIES,Spol,Godine,UNIT_MEASURE,Value
2021,sdg_04_60,Oba pola,Od 25 do 64 godine,PT,2.1
2022,sdg_04_60,Oba pola,Od 25 do 64 godine,PT,1.8
2023,sdg_04_60,Oba pola,Od 25 do 64 godine,PT,1.8
2024,sdg_04_60,Oba pola,Od 25 do 64 godine,PT,1.6
2025,sdg_04_60,Oba pola,Od 25 do 64 godine,PT,1.8
2021,sdg_04_60,Muškarci,Od 25 do 64 godine,PT,2.0
2022,sdg_04_60,Muškarci,Od 25 do 64 godine,PT,1.6
2023,sdg_04_60,Muškarci,Od 25 do 64 godine,PT,1.5
2024,sdg_04_60,Muškarci,Od 25 do 64 godine,PT,1.2
2025,sdg_04_60,Muškarci,Od 25 do 64 godine,PT,1.5
2021,sdg_04_60,Žene,Od 25 do 64 godine,PT,2.1
2022,sdg_04_60,Žene,Od 25 do 64 godine,PT,2.0
2023,sdg_04_60,Žene,Od 25 do 64 godine,PT,2.0
2024,sdg_04_60,Žene,Od 25 do 64 godine,PT,2.0
2025,sdg_04_60,Žene,Od 25 do 64 godine,PT,2.2
