Year,SERIES,Radna snaga i status zaposlenosti,Godine,UNIT_MEASURE,Value
2021,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe,od 20 do 64 godine,Procenat,26.9
2022,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe,od 20 do 64 godine,Procenat,27.7
2023,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe,od 20 do 64 godine,Procenat,27.4
2024,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe,od 20 do 64 godine,Procenat,27.6
2025,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe,od 20 do 64 godine,Procenat,28.3
2021,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,-0.7
2022,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,0.0
2023,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,-0.1
2024,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,-0.4
2025,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,-1.8
2021,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,Procenat,-2.9
2022,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,Procenat,-2.8
2023,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,Procenat,-2.4
2024,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,Procenat,-2.1
2025,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Zaposlene osobe s privremenim ugovorom,od 20 do 64 godine,Procenat,-2.0
2021,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,0.2
2022,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,0.4
2023,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,0.5
2024,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,0.2
2025,"Razlika u zaposlenosti među spolovima, prema vrsti zaposlenja",Nedovoljno zaposlene osobe koje rade nepuno radno vrijeme,od 20 do 64 godine,Procenat,-0.2
