Year,SERIES,INCOME_WEALTH_QUANTILE,SOC_TRANSFER,UNIT_MEASURE,Value
2011,sdg_01_20,Q1,B1_B29,PT,15.5
2011,sdg_01_20,Q1,T_ALL,PT,17.3
2011,sdg_01_20,Q1,B18_B20,PT,19.8
2011,sdg_01_20,Q1,B21_B23,PT,25.4
2011,sdg_01_20,Q1,B26_B29,PT,40.3
2011,sdg_01_20,Q2,B1_B29,PT,18.2
2011,sdg_01_20,Q2,T_ALL,PT,19.1
2011,sdg_01_20,Q2,B18_B20,PT,17.2
2011,sdg_01_20,Q2,B21_B23,PT,22.7
2011,sdg_01_20,Q2,B26_B29,PT,21.1
2011,sdg_01_20,Q3,B1_B29,PT,19.7
2011,sdg_01_20,Q3,T_ALL,PT,22.4
2011,sdg_01_20,Q3,B18_B20,PT,24.4
2011,sdg_01_20,Q3,B21_B23,PT,17.3
2011,sdg_01_20,Q3,B26_B29,PT,11.2
2011,sdg_01_20,Q4,B1_B29,PT,21.2
2011,sdg_01_20,Q4,T_ALL,PT,21.3
2011,sdg_01_20,Q4,B18_B20,PT,25.5
2011,sdg_01_20,Q4,B21_B23,PT,16.0
2011,sdg_01_20,Q4,B26_B29,PT,5.3
2011,sdg_01_20,Q5,B1_B29,PT,25.4
2011,sdg_01_20,Q5,T_ALL,PT,20.0
2011,sdg_01_20,Q5,B18_B20,PT,13.0
2011,sdg_01_20,Q5,B21_B23,PT,18.6
2011,sdg_01_20,Q5,B26_B29,PT,22.3
