Year,SERIES,INDIC_PPP,UNIT_MEASURE,Value
2016,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,8.9
2017,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.2
2018,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.8
2019,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,10.2
2020,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.9
2021,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,11.0
2022,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,12.5
2023,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,13.6
2024,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,14.6
2025,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,15.1
2016,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,31
2017,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,31
2018,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,32
2019,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,32
2020,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,33
2021,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,33
2022,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,35
2023,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,35
2024,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,37
2025,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,36
