Year,SERIES,Labour_force_and_employment_status,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_04_10,POP,BOTHSEX,Y18_24,PT,4.7
2022,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.6
2023,sdg_04_10,POP,BOTHSEX,Y18_24,PT,4.2
2024,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.8
2025,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.0
2021,sdg_04_10,POP,M,Y18_24,PT,4.9
2022,sdg_04_10,POP,M,Y18_24,PT,3.9
2023,sdg_04_10,POP,M,Y18_24,PT,5.2
2024,sdg_04_10,POP,M,Y18_24,PT,5.0
2025,sdg_04_10,POP,M,Y18_24,PT,2.9
2021,sdg_04_10,POP,F,Y18_24,PT,4.4
2022,sdg_04_10,POP,F,Y18_24,PT,3.3
2023,sdg_04_10,POP,F,Y18_24,PT,3.1
2024,sdg_04_10,POP,F,Y18_24,PT,2.5
2025,sdg_04_10,POP,F,Y18_24,PT,3.0
