Year,SERIES,EDUCATION_LEV,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_04_20,ED5_8,BOTHSEX,Y25_34,PT,27.1
2022,sdg_04_20,ED5_8,BOTHSEX,Y25_34,PT,26.4
2023,sdg_04_20,ED5_8,BOTHSEX,Y25_34,PT,26.6
2024,sdg_04_20,ED5_8,BOTHSEX,Y25_34,PT,26.7
2025,sdg_04_20,ED5_8,BOTHSEX,Y25_34,PT,27.5
2021,sdg_04_20,ED5_8,M,Y25_34,PT,21.7
2022,sdg_04_20,ED5_8,M,Y25_34,PT,20.9
2023,sdg_04_20,ED5_8,M,Y25_34,PT,21.3
2024,sdg_04_20,ED5_8,M,Y25_34,PT,21.8
2025,sdg_04_20,ED5_8,M,Y25_34,PT,22.8
2021,sdg_04_20,ED5_8,F,Y25_34,PT,32.9
2022,sdg_04_20,ED5_8,F,Y25_34,PT,32.4
2023,sdg_04_20,ED5_8,F,Y25_34,PT,32.2
2024,sdg_04_20,ED5_8,F,Y25_34,PT,31.9
2025,sdg_04_20,ED5_8,F,Y25_34,PT,32.7
