Year,SERIES,UNIT_MEASURE,Value
2014,sdg_07_11,MTOE,3.1
2015,sdg_07_11,MTOE,3.3
2016,sdg_07_11,MTOE,3.6
2017,sdg_07_11,MTOE,3.5
2018,sdg_07_11,MTOE,4.2
2019,sdg_07_11,MTOE,4.2
2020,sdg_07_11,MTOE,4.0
2021,sdg_07_11,MTOE,4.3
2022,sdg_07_11,MTOE,4.3
2023,sdg_07_11,MTOE,4.2
2024,sdg_07_11,MTOE,4.4
2014,sdg_07_11,TOE_HAB,0.81
2015,sdg_07_11,TOE_HAB,0.90
2016,sdg_07_11,TOE_HAB,1.01
2017,sdg_07_11,TOE_HAB,1.0
2018,sdg_07_11,TOE_HAB,1.21
2022,sdg_07_11,TOE_HAB,1.25
2023,sdg_07_11,TOE_HAB,1.22
2024,sdg_07_11,TOE_HAB,1.28
