Year,SERIES,SECTPERF,UNIT_MEASURE,Value
2019,sdg_09_10,TOTAL,PC_BDP,0.19
2020,sdg_09_10,TOTAL,PC_BDP,0.20
2021,sdg_09_10,TOTAL,PC_BDP,0.19
2019,sdg_09_10,BES,PC_BDP,0.07
2020,sdg_09_10,BES,PC_BDP,0.08
2021,sdg_09_10,BES,PC_BDP,0.07
2029,sdg_09_10,GOV,PC_BDP,0.01
2020,sdg_09_10,GOV,PC_BDP,0.01
2021,sdg_09_10,GOV,PC_BDP,0.01
2019,sdg_09_10,HES,PC_BDP,0.11
2020,sdg_09_10,HES,PC_BDP,0.11
2021,sdg_09_10,HES,PC_BDP,0.11
2029,sdg_09_10,PNP,PC_BDP,0
2020,sdg_09_10,PNP,PC_BDP,0
2021,sdg_09_10,PNP,PC_BDP,0
