Year,SERIES,Purchasing power parities indicator,UNIT_MEASURE,Value
2016,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,8.9
2017,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,9.2
2018,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,9.8
2019,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,10.2
2020,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,9.9
2021,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,11.0
2022,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,12.5
2023,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,13.6
2024,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,14.6
2025,Purchasing power adjusted GDP per capita,Real expenditure per capita (in PPS_EU27_2020),Percent,15.1
2016,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,31.0
2017,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,31.0
2018,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,32.0
2019,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,32.0
2020,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,33.0
2021,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,33.0
2022,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,35.0
2023,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,35.0
2024,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,37.0
2025,Purchasing power adjusted GDP per capita,Volume indices of real expenditure per capita (in PPS_EU27_2020=100),Percent,36.0
