Year,SERIES,Sex,UNIT_MEASURE,Value
2000,Healthy life years based on self-perceived health,Both sexes,Year,65.6
2010,Healthy life years based on self-perceived health,Both sexes,Year,66.9
2015,Healthy life years based on self-perceived health,Both sexes,Year,66.9
2016,Healthy life years based on self-perceived health,Both sexes,Year,67.0
2017,Healthy life years based on self-perceived health,Both sexes,Year,67.1
2018,Healthy life years based on self-perceived health,Both sexes,Year,67.2
2019,Healthy life years based on self-perceived health,Both sexes,Year,67.0
2020,Healthy life years based on self-perceived health,Both sexes,Year,65.9
2021,Healthy life years based on self-perceived health,Both sexes,Year,65.0
2000,Healthy life years based on self-perceived health,Male,Year,63.9
2010,Healthy life years based on self-perceived health,Male,Year,65.3
2015,Healthy life years based on self-perceived health,Male,Year,65.5
2016,Healthy life years based on self-perceived health,Male,Year,65.6
2017,Healthy life years based on self-perceived health,Male,Year,65.8
2018,Healthy life years based on self-perceived health,Male,Year,65.8
2019,Healthy life years based on self-perceived health,Male,Year,65.7
2020,Healthy life years based on self-perceived health,Male,Year,64.4
2021,Healthy life years based on self-perceived health,Male,Year,63.9
2000,Healthy life years based on self-perceived health,Female,Year,67.1
2010,Healthy life years based on self-perceived health,Female,Year,68.3
2015,Healthy life years based on self-perceived health,Female,Year,68.2
2016,Healthy life years based on self-perceived health,Female,Year,68.0
2017,Healthy life years based on self-perceived health,Female,Year,68.0
2018,Healthy life years based on self-perceived health,Female,Year,69.0
2019,Healthy life years based on self-perceived health,Female,Year,68.0
2020,Healthy life years based on self-perceived health,Female,Year,67.4
2021,Healthy life years based on self-perceived health,Female,Year,66.1
