Year,SERIES,Labour force and employment status,Sex,Age,UNIT_MEASURE,Value
2021,sdg_04_10,Population,Both sexes,18 to 24 years old,PT,4.7
2022,sdg_04_10,Population,Both sexes,18 to 24 years old,PT,3.6
2023,sdg_04_10,Population,Both sexes,18 to 24 years old,PT,4.2
2024,sdg_04_10,Population,Both sexes,18 to 24 years old,PT,3.8
2025,sdg_04_10,Population,Both sexes,18 to 24 years old,PT,3.0
2021,sdg_04_10,Population,Male,18 to 24 years old,PT,4.9
2022,sdg_04_10,Population,Male,18 to 24 years old,PT,3.9
2023,sdg_04_10,Population,Male,18 to 24 years old,PT,5.2
2024,sdg_04_10,Population,Male,18 to 24 years old,PT,5.0
2025,sdg_04_10,Population,Male,18 to 24 years old,PT,2.9
2021,sdg_04_10,Population,Female,18 to 24 years old,PT,4.4
2022,sdg_04_10,Population,Female,18 to 24 years old,PT,3.3
2023,sdg_04_10,Population,Female,18 to 24 years old,PT,3.1
2024,sdg_04_10,Population,Female,18 to 24 years old,PT,2.5
2025,sdg_04_10,Population,Female,18 to 24 years old,PT,3.0
2021,sdg_04_10,Employed persons,Both sexes,18 to 24 years old,PT,1.3
2022,sdg_04_10,Employed persons,Both sexes,18 to 24 years old,PT,0.7
2023,sdg_04_10,Employed persons,Both sexes,18 to 24 years old,PT,0.8
2024,sdg_04_10,Employed persons,Both sexes,18 to 24 years old,PT,0.8
2025,sdg_04_10,Employed persons,Both sexes,18 to 24 years old,PT,0.6
2021,sdg_04_10,Employed persons,Male,18 to 24 years old,PT,2.1
2022,sdg_04_10,Employed persons,Male,18 to 24 years old,PT,1.4
2023,sdg_04_10,Employed persons,Male,18 to 24 years old,PT,1.4
2024,sdg_04_10,Employed persons,Male,18 to 24 years old,PT,1.2
2025,sdg_04_10,Employed persons,Male,18 to 24 years old,PT,
2021,sdg_04_10,Employed persons,Female,18 to 24 years old,PT,
2022,sdg_04_10,Employed persons,Female,18 to 24 years old,PT,
2023,sdg_04_10,Employed persons,Female,18 to 24 years old,PT,
2024,sdg_04_10,Employed persons,Female,18 to 24 years old,PT,
2025,sdg_04_10,Employed persons,Female,18 to 24 years old,PT,0.8
2021,sdg_04_10,Not employed persons,Both sexes,18 to 24 years old,PT,3.4
2022,sdg_04_10,Not employed persons,Both sexes,18 to 24 years old,PT,2.9
2023,sdg_04_10,Not employed persons,Both sexes,18 to 24 years old,PT,3.3
2024,sdg_04_10,Not employed persons,Both sexes,18 to 24 years old,PT,3.0
2025,sdg_04_10,Not employed persons,Both sexes,18 to 24 years old,PT,2.4
2021,sdg_04_10,Not employed persons,Male,18 to 24 years old,PT,2.8
2022,sdg_04_10,Not employed persons,Male,18 to 24 years old,PT,2.5
2023,sdg_04_10,Not employed persons,Male,18 to 24 years old,PT,3.7
2024,sdg_04_10,Not employed persons,Male,18 to 24 years old,PT,3.8
2025,sdg_04_10,Not employed persons,Male,18 to 24 years old,PT,2.5
2021,sdg_04_10,Not employed persons,Female,18 to 24 years old,PT,3.9
