Year,SERIES,Reason,Age,Sex,UNIT_MEASURE,Value
2021,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Both sexes,PC,0.3
2022,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Both sexes,PC,0.3
2023,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Both sexes,PC,0.3
2024,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Both sexes,PC,0.2
2025,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Both sexes,PC,0.2
2021,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Female,PC,0.6
2022,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Female,PC,0.7
2023,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Female,PC,0.6
2024,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Female,PC,0.3
2025,sdg_05_40,Care of adults with disabilities or children,20 to 64 years old,Female,PC,0.3
