Year,SERIES,Hazard waste class,UNIT_MEASURE,Value
2012,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,1161
2014,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,1447
2016,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,1744
2018,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,1930
2020,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,1835
2022,Generation of waste by hazardousness,"Hazardous and non-hazardous waste, total",Kilograms per capita,2047
2012,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,246
2014,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,2
2016,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,4
2018,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,4
2020,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,3
2022,Generation of waste by hazardousness,Hazardous waste,Kilograms per capita,4
2012,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,915
2014,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,1445
2016,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,1740
2018,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,1926
2020,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,1832
2022,Generation of waste by hazardousness,Non-hazardous waste,Kilograms per capita,2044
