Year,SERIES,Age,Sex,UNIT_MEASURE,Value
2000,sdg_03_30,15 years old and over,Both sexes,PC,47.0
2005,sdg_03_30,15 years old and over,Both sexes,PC,43.7
2007,sdg_03_30,15 years old and over,Both sexes,PC,42.7
2010,sdg_03_30,15 years old and over,Both sexes,PC,41.1
2015,sdg_03_30,15 years old and over,Both sexes,PC,38.8
2020,sdg_03_30,15 years old and over,Both sexes,PC,36.9
2021,sdg_03_30,15 years old and over,Both sexes,PC,36.4
2022,sdg_03_30,15 years old and over,Both sexes,PC,36.3
2025,sdg_03_30,15 years old and over,Both sexes,PC,35.2
2000,sdg_03_30,15 years old and over,Male,PC,59.2
2005,sdg_03_30,15 years old and over,Male,PC,53.9
2007,sdg_03_30,15 years old and over,Male,PC,52.2
2010,sdg_03_30,15 years old and over,Male,PC,49.7
2015,sdg_03_30,15 years old and over,Male,PC,45.9
2020,sdg_03_30,15 years old and over,Male,PC,42.6
2021,sdg_03_30,15 years old and over,Male,PC,42.0
2022,sdg_03_30,15 years old and over,Male,PC,41.6
2025,sdg_03_30,15 years old and over,Male,PC,39.9
2000,sdg_03_30,15 years old and over,Female,PC,34.8
2005,sdg_03_30,15 years old and over,Female,PC,33.5
2007,sdg_03_30,15 years old and over,Female,PC,33.1
2010,sdg_03_30,15 years old and over,Female,PC,32.5
2015,sdg_03_30,15 years old and over,Female,PC,31.6
2020,sdg_03_30,15 years old and over,Female,PC,31.1
2021,sdg_03_30,15 years old and over,Female,PC,30.8
2022,sdg_03_30,15 years old and over,Female,PC,30.9
2025,sdg_03_30,15 years old and over,Female,PC,30.5
