Year,SERIES,Professional position,Sex,UNIT_MEASURE,Value
2018,Positions held by women in senior management positions,Non-executive directors,Female,Percent,14.8
2019,Positions held by women in senior management positions,Non-executive directors,Female,Percent,17.0
2020,Positions held by women in senior management positions,Non-executive directors,Female,Percent,17.0
2021,Positions held by women in senior management positions,Non-executive directors,Female,Percent,11.3
2022,Positions held by women in senior management positions,Non-executive directors,Female,Percent,13.5
2022,Positions held by women in senior management positions,Non-executive directors,Female,Percent,12.5
2018,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,17.8
2019,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,22.0
2020,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,19.8
2021,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,17.2
2022,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,15.5
2023,Positions held by women in senior management positions,Non-executives and executive directors,Female,Percent,19.6
