Year,SERIES,UNIT_MEASURE,Energy balance,Value
2014,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",24.873
2015,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",26.607
2016,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",25.358
2017,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",23.241
2018,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",35.972
2019,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",37.454
2020,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",39.835
2021,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",36.587
2022,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",39.32
2023,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",40.038
2024,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, overall",38.524
2014,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.456
2015,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.53
2016,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.525
2017,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.533
2018,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.439
2019,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.396
2020,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.464
2021,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.245
2022,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.311
2023,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.292
2024,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.281
2014,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.456
2015,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.53
2016,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.525
2017,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.533
2018,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.439
2019,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.396
2020,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.464
2021,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.245
2022,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.311
2023,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.292
2024,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, transport",0.281
2014,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",38.394
2015,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",38.726
2016,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",40.829
2017,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",39.564
2018,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",41.498
2019,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",45.482
2020,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",49.308
2021,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",46.42
2022,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",48.521
2023,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",51.667
2024,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, electricity",52.742
2014,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",28.626
2015,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",32.768
2016,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",32.329
2017,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",28.739
2018,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",52.685
2019,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",55.872
2020,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",56.623
2021,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",53.31
2022,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",57.648
2023,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",59.672
2024,Share of renewable energy in gross final energy consumption,Percent,"Renewable energy, heating and cooling",56.596
