Year,Value,UNIT_MEASURE,SERIES
2010,5.55,Tonnes per capita,Net greenhouse gas emissions
2011,6.35,Tonnes per capita,Net greenhouse gas emissions
2012,6.03,Tonnes per capita,Net greenhouse gas emissions
2013,6.03,Tonnes per capita,Net greenhouse gas emissions
2014,5.42,Tonnes per capita,Net greenhouse gas emissions
2015,5.25,Tonnes per capita,Net greenhouse gas emissions
2016,6.26,Tonnes per capita,Net greenhouse gas emissions
2017,6.46,Tonnes per capita,Net greenhouse gas emissions
2018,6.52,Tonnes per capita,Net greenhouse gas emissions
2019,6.22,Tonnes per capita,Net greenhouse gas emissions
2020,6.31,Tonnes per capita,Net greenhouse gas emissions
2021,6.55,Tonnes per capita,Net greenhouse gas emissions
2022,6.47,Tonnes per capita,Net greenhouse gas emissions
2023,6.24,Tonnes per capita,Net greenhouse gas emissions
2024,6.14,Tonnes per capita,Net greenhouse gas emissions
2010,21.15,Million tons of CO2 equivalent,Net greenhouse gas emissions
2011,23.75,Million tons of CO2 equivalent,Net greenhouse gas emissions
2012,22.14,Million tons of CO2 equivalent,Net greenhouse gas emissions
2013,21.8,Million tons of CO2 equivalent,Net greenhouse gas emissions
2014,19.31,Million tons of CO2 equivalent,Net greenhouse gas emissions
2015,18.46,Million tons of CO2 equivalent,Net greenhouse gas emissions
2016,21.73,Million tons of CO2 equivalent,Net greenhouse gas emissions
2017,22.15,Million tons of CO2 equivalent,Net greenhouse gas emissions
2018,22.08,Million tons of CO2 equivalent,Net greenhouse gas emissions
2019,20.81,Million tons of CO2 equivalent,Net greenhouse gas emissions
2020,20.83,Million tons of CO2 equivalent,Net greenhouse gas emissions
2021,21.27,Million tons of CO2 equivalent,Net greenhouse gas emissions
2022,20.74,Million tons of CO2 equivalent,Net greenhouse gas emissions
2023,19.88,Million tons of CO2 equivalent,Net greenhouse gas emissions
2024,19.43,Million tons of CO2 equivalent,Net greenhouse gas emissions
