Year,SERIES,Pokazatelj pariteta kupovne moći,UNIT_MEASURE,Value
2016,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,8.9
2017,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,9.2
2018,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,9.8
2019,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,10.2
2020,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,9.9
2021,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,11.0
2022,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,12.5
2023,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,13.6
2024,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,14.6
2025,BDP po stanovniku prilagođen kupovnoj moći,Realni rashodi po stanovniku (u PPS_EU27_2020),Postotak,15.1
2016,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,31.0
2017,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,31.0
2018,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,32.0
2019,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,32.0
2020,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,33.0
2021,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,33.0
2022,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,35.0
2023,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,35.0
2024,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,37.0
2025,BDP po stanovniku prilagođen kupovnoj moći,Indeksi volumena realnih rashoda po stanovniku (u PPS_EU27_2020=100),Postotak,36.0
