Year,SERIES,Spol,Godine,UNIT_MEASURE,Value
2021,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Oba spola,Od 25 do 64 godinе,Postotak,2.1
2022,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Oba spola,Od 25 do 64 godinе,Postotak,1.8
2023,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Oba spola,Od 25 do 64 godinе,Postotak,1.8
2024,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Oba spola,Od 25 do 64 godinе,Postotak,1.6
2025,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Oba spola,Od 25 do 64 godinе,Postotak,1.8
2021,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Muškarci,Od 25 do 64 godinе,Postotak,2.0
2022,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Muškarci,Od 25 do 64 godinе,Postotak,1.6
2023,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Muškarci,Od 25 do 64 godinе,Postotak,1.5
2024,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Muškarci,Od 25 do 64 godinе,Postotak,1.2
2025,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Muškarci,Od 25 do 64 godinе,Postotak,1.5
2021,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Žene,Od 25 do 64 godinе,Postotak,2.1
2022,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Žene,Od 25 do 64 godinе,Postotak,2.0
2023,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Žene,Od 25 do 64 godinе,Postotak,2.0
2024,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Žene,Od 25 do 64 godinе,Postotak,2.0
2025,Sudjelovanje odraslih u učenju u protekla četiri tjedna po spolu,Žene,Od 25 do 64 godinе,Postotak,2.2
