Year,SERIES,Nacionalne i međunarodne organizacije i institucije,Spol,UNIT_MEASURE,Value
2018,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,21.1
2019,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,21.1
2020,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,24.6
2021,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,24.6
2022,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,24.6
2023,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,21.1
2025,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalni parlament,Žene,Postotak žena,26.3
2018,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,10.0
2019,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,11.1
2020,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,15.0
2021,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,15.0
2022,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,16.7
2023,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,25.0
2025,Mjesta koja zauzimaju žene u nacionalnim parlamentima i vladama,Nacionalna vlada,Žene,Postotak žena,16.3
