Year,SERIES,Sektor učinka,UNIT_MEASURE,Value
2019,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.19
2020,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.2
2021,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.19
2022,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.19
2023,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.18
2024,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Svi sektori,Postotak bruto domaćeg proizvoda (BDP),0.2
2019,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Poslovni sektor,Postotak bruto domaćeg proizvoda (BDP),0.07
2020,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Poslovni sektor,Postotak bruto domaćeg proizvoda (BDP),0.08
2021,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Poslovni sektor,Postotak bruto domaćeg proizvoda (BDP),0.07
2029,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Vladin sektor,Postotak bruto domaćeg proizvoda (BDP),0.01
2020,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Vladin sektor,Postotak bruto domaćeg proizvoda (BDP),0.01
2021,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Vladin sektor,Postotak bruto domaćeg proizvoda (BDP),0.01
2019,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.11
2020,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.11
2021,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.11
2022,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.11
2023,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.1
2024,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Sektor visokog obrazovanja,Postotak bruto domaćeg proizvoda (BDP),0.11
2019,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Privatni neprofitni sektor,Postotak bruto domaćeg proizvoda (BDP),0.0
2020,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Privatni neprofitni sektor,Postotak bruto domaćeg proizvoda (BDP),0.0
2021,Bruto domaća potrošnja za istraživanje i razvoj (R&D) po sektorima,Privatni neprofitni sektor,Postotak bruto domaćeg proizvoda (BDP),0.0
