Year,SERIES,Partneri u suradnji,UNIT_MEASURE,Value
2011,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,1.0
2012,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,1.0
2013,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,2.0
2014,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,3.0
2015,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,2.0
2016,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,1.0
2017,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,2.0
2018,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,4.0
2019,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,3.0
2020,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,4.0
2021,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,0.0
2022,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,8.0
2023,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,9.0
2024,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,6.0
2025,Prijave patenata Europskom patentskom uredu,Izumitelj,Broj,4.0
2011,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.27
2012,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.27
2013,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.53
2014,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.79
2015,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.55
2016,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.29
2017,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,0.58
2018,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,1.15
2019,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,
2020,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,
2021,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,
2022,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,2.32
2023,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,2.63
2024,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,1.76
2025,Prijave patenata Europskom patentskom uredu,Izumitelj,Na milijun stanovnika,
2011,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,1.0
2012,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,1.0
2013,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,2.0
2014,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,3.0
2015,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,2.0
2016,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,1.0
2017,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,2.0
2018,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,4.0
2019,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,3.0
2020,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,4.0
2021,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,0.0
2022,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,8.0
2023,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,9.0
2024,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,6.0
2025,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Broj,4.0
2011,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.0
2012,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.79
2013,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.27
2014,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.0
2015,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.0
2016,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.57
2017,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.0
2018,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,0.29
2019,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,
2020,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,
2021,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,
2022,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,2.03
2023,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,2.34
2024,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,1.76
2025,Prijave patenata Europskom patentskom uredu,Podnositelj zahtjeva,Na milijun stanovnika,
