Year,Value,UNIT_MEASURE,SERIES
2016,4.5,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2017,4.05,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2018,3.55,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2019,3.09,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2020,3.48,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2021,2.79,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2022,2.41,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2023,2.1,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2024,1.75,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
2025,1.41,Postotak,"Udio stanovništva ispod linije siromaštva od 4,20 USD dnevno (PKM iz 2021.) (% stanovništva) - zamjenski pokazatelj"
