Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,complete,,,,,,line
#1-2-1,complete,,,,,,line
#1-3-1,complete,,,,,,line
#1-4-1,complete,,,,,,line
#1-4-2,complete,,,,,,line
#1-5-1,complete,,,,,,line
#2-1-1,complete,,,,,,line
#2-2-1,complete,,,,,,line
#2-3-1,complete,,,,,,line
#2-4-1,complete,,,,,,line
#2-5-3,complete,,,,,,line
#2-6-0,complete,,,,,,line
#3-1-1,complete,,,,,,line
#3-2-1,complete,,,,,,line
#3-3-1,complete,,,,,,line
#3-4-1,complete,,,,,,line
#3-6-1,complete,,,,,,line
#3-7-1,complete,,,,,,line
