Year,SERIES,Квантил дохотка или богатства,Трансфери социјалне заштите,UNIT_MEASURE,Value
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 1 (најсиромашнији),Општа социјална заштита (B1-B29),Проценат,15.5
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 1 (најсиромашнији),"Укупни трансфери по основу статуса (B6-B23, B25-B29)",Проценат,17.3
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 1 (најсиромашнији),Накнаде за цивилна лица са инвалидитетом (B18-B20),Проценат,19.8
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 1 (најсиромашнији),Накнаде за дјечију заштиту (B21-B23),Проценат,25.4
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 1 (најсиромашнији),Накнаде социјалне помоћи (B26-B29),Проценат,40.3
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 2,Општа социјална заштита (B1-B29),Проценат,18.2
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 2,"Укупни трансфери по основу статуса (B6-B23, B25-B29)",Проценат,19.1
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 2,Накнаде за цивилна лица са инвалидитетом (B18-B20),Проценат,17.2
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 2,Накнаде за дјечију заштиту (B21-B23),Проценат,22.7
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 2,Накнаде социјалне помоћи (B26-B29),Проценат,21.1
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 3,Општа социјална заштита (B1-B29),Проценат,19.7
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 3,"Укупни трансфери по основу статуса (B6-B23, B25-B29)",Проценат,22.4
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 3,Накнаде за цивилна лица са инвалидитетом (B18-B20),Проценат,24.4
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 3,Накнаде за дјечију заштиту (B21-B23),Проценат,17.3
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 3,Накнаде социјалне помоћи (B26-B29),Проценат,11.2
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 4,Општа социјална заштита (B1-B29),Проценат,21.2
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 4,"Укупни трансфери по основу статуса (B6-B23, B25-B29)",Проценат,21.3
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 4,Накнаде за цивилна лица са инвалидитетом (B18-B20),Проценат,25.5
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 4,Накнаде за дјечију заштиту (B21-B23),Проценат,16.0
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 4,Накнаде социјалне помоћи (B26-B29),Проценат,5.3
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 5 (најбогатији),Општа социјална заштита (B1-B29),Проценат,25.4
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 5 (најбогатији),"Укупни трансфери по основу статуса (B6-B23, B25-B29)",Проценат,20.0
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 5 (најбогатији),Накнаде за цивилна лица са инвалидитетом (B18-B20),Проценат,13.0
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 5 (најбогатији),Накнаде за дјечију заштиту (B21-B23),Проценат,18.6
2011,Особе у опасности од монетарног сиромаштва након социјалних трансфера,Квантил 5 (најбогатији),Накнаде социјалне помоћи (B26-B29),Проценат,22.3
