Year,SERIES,Класа опасног отпада,UNIT_MEASURE,Value
2012,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,1161
2014,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,1447
2016,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,1744
2018,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,1930
2020,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,1835
2022,Настали опасни отпад,"Опасни и неопасни отпад, укупно",Килограми по глави становника,2047
2012,Настали опасни отпад,Опасни отпад,Килограми по глави становника,246
2014,Настали опасни отпад,Опасни отпад,Килограми по глави становника,2
2016,Настали опасни отпад,Опасни отпад,Килограми по глави становника,4
2018,Настали опасни отпад,Опасни отпад,Килограми по глави становника,4
2020,Настали опасни отпад,Опасни отпад,Килограми по глави становника,3
2022,Настали опасни отпад,Опасни отпад,Килограми по глави становника,4
2012,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,915
2014,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,1445
2016,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,1740
2018,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,1926
2020,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,1832
2022,Настали опасни отпад,Неопасни отпад,Килограми по глави становника,2044
