Year,SERIES,UNIT_MEASURE,Value
2011,Емисије амонијака из пољопривреде,OOOт,17.564
2012,Емисије амонијака из пољопривреде,OOOт,18.309
2013,Емисије амонијака из пољопривреде,OOOт,19.054
2014,Емисије амонијака из пољопривреде,OOOт,19.799
2015,Емисије амонијака из пољопривреде,OOOт,20.544
2016,Емисије амонијака из пољопривреде,OOOт,21.128
2017,Емисије амонијака из пољопривреде,OOOт,21.712
2018,Емисије амонијака из пољопривреде,OOOт,22.295
2019,Емисије амонијака из пољопривреде,OOOт,22.879
2020,Емисије амонијака из пољопривреде,OOOт,23.463
2021,Емисије амонијака из пољопривреде,OOOт,23.463
2022,Емисије амонијака из пољопривреде,OOOт,24.047
