Year,SERIES,Радна снага и статус запослености,Пол,Године,UNIT_MEASURE,Value
2021,Рано напуштање образовања и обуке по полу,Становништво,Оба пола,од 18 до 24 године,Проценат,4.7
2022,Рано напуштање образовања и обуке по полу,Становништво,Оба пола,од 18 до 24 године,Проценат,3.6
2023,Рано напуштање образовања и обуке по полу,Становништво,Оба пола,од 18 до 24 године,Проценат,4.2
2024,Рано напуштање образовања и обуке по полу,Становништво,Оба пола,од 18 до 24 године,Проценат,3.8
2025,Рано напуштање образовања и обуке по полу,Становништво,Оба пола,од 18 до 24 године,Проценат,3.0
2021,Рано напуштање образовања и обуке по полу,Становништво,Мушкарци,од 18 до 24 године,Проценат,4.9
2022,Рано напуштање образовања и обуке по полу,Становништво,Мушкарци,од 18 до 24 године,Проценат,3.9
2023,Рано напуштање образовања и обуке по полу,Становништво,Мушкарци,од 18 до 24 године,Проценат,5.2
2024,Рано напуштање образовања и обуке по полу,Становништво,Мушкарци,од 18 до 24 године,Проценат,5.0
2025,Рано напуштање образовања и обуке по полу,Становништво,Мушкарци,од 18 до 24 године,Проценат,2.9
2021,Рано напуштање образовања и обуке по полу,Становништво,Жене,од 18 до 24 године,Проценат,4.4
2022,Рано напуштање образовања и обуке по полу,Становништво,Жене,од 18 до 24 године,Проценат,3.3
2023,Рано напуштање образовања и обуке по полу,Становништво,Жене,од 18 до 24 године,Проценат,3.1
2024,Рано напуштање образовања и обуке по полу,Становништво,Жене,од 18 до 24 године,Проценат,2.5
2025,Рано напуштање образовања и обуке по полу,Становништво,Жене,од 18 до 24 године,Проценат,3.0
2021,Рано напуштање образовања и обуке по полу,Запослене особе,Оба пола,од 18 до 24 године,Проценат,1.3
2022,Рано напуштање образовања и обуке по полу,Запослене особе,Оба пола,од 18 до 24 године,Проценат,0.7
2023,Рано напуштање образовања и обуке по полу,Запослене особе,Оба пола,од 18 до 24 године,Проценат,0.8
2024,Рано напуштање образовања и обуке по полу,Запослене особе,Оба пола,од 18 до 24 године,Проценат,0.8
2025,Рано напуштање образовања и обуке по полу,Запослене особе,Оба пола,од 18 до 24 године,Проценат,0.6
2021,Рано напуштање образовања и обуке по полу,Запослене особе,Мушкарци,од 18 до 24 године,Проценат,2.1
2022,Рано напуштање образовања и обуке по полу,Запослене особе,Мушкарци,од 18 до 24 године,Проценат,1.4
2023,Рано напуштање образовања и обуке по полу,Запослене особе,Мушкарци,од 18 до 24 године,Проценат,1.4
2024,Рано напуштање образовања и обуке по полу,Запослене особе,Мушкарци,од 18 до 24 године,Проценат,1.2
2025,Рано напуштање образовања и обуке по полу,Запослене особе,Мушкарци,од 18 до 24 године,Проценат,
