Year,SERIES,Ниво образовања,Пол,Године,UNIT_MEASURE,Value
2021,sdg_04_20,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,PT,27.1
2022,sdg_04_20,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,PT,26.4
2023,sdg_04_20,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,PT,26.6
2024,sdg_04_20,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,PT,26.7
2025,sdg_04_20,Високо образовање (нивои 5-8),Оба пола,од 25 до 34 године,PT,27.5
2021,sdg_04_20,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,PT,21.7
2022,sdg_04_20,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,PT,20.9
2023,sdg_04_20,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,PT,21.3
2024,sdg_04_20,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,PT,21.8
2025,sdg_04_20,Високо образовање (нивои 5-8),Мушкарци,од 25 до 34 године,PT,22.8
2021,sdg_04_20,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,PT,32.9
2022,sdg_04_20,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,PT,32.4
2023,sdg_04_20,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,PT,32.2
2024,sdg_04_20,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,PT,31.9
2025,sdg_04_20,Високо образовање (нивои 5-8),Жене,од 25 до 34 године,PT,32.7
