Year,SERIES,Пол,Године,UNIT_MEASURE,Value
2021,sdg_04_60,Оба пола,од 25 до 64 године,PT,2.1
2022,sdg_04_60,Оба пола,од 25 до 64 године,PT,1.8
2023,sdg_04_60,Оба пола,од 25 до 64 године,PT,1.8
2024,sdg_04_60,Оба пола,од 25 до 64 године,PT,1.6
2025,sdg_04_60,Оба пола,од 25 до 64 године,PT,1.8
2021,sdg_04_60,Мушкарци,од 25 до 64 године,PT,2.0
2022,sdg_04_60,Мушкарци,од 25 до 64 године,PT,1.6
2023,sdg_04_60,Мушкарци,од 25 до 64 године,PT,1.5
2024,sdg_04_60,Мушкарци,од 25 до 64 године,PT,1.2
2025,sdg_04_60,Мушкарци,од 25 до 64 године,PT,1.5
2021,sdg_04_60,Жене,од 25 до 64 године,PT,2.1
2022,sdg_04_60,Жене,од 25 до 64 године,PT,2.0
2023,sdg_04_60,Жене,од 25 до 64 године,PT,2.0
2024,sdg_04_60,Жене,од 25 до 64 године,PT,2.0
2025,sdg_04_60,Жене,од 25 до 64 године,PT,2.2
