Year,SERIES,Професионална позиција,Пол,UNIT_MEASURE,Value
2018,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,14.8
2019,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,17.0
2020,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,17.0
2021,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,11.3
2022,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,13.5
2022,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни директори,Жене,Проценат,12.5
2018,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,17.8
2019,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,22.0
2020,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,19.8
2021,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,17.2
2022,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,15.5
2023,Позиције које заузимају жене на вишим руководећим позицијама,Неизвршни и извршни директори,Жене,Проценат,19.6
