Year,SERIES,Standard_international_energy_product_classification,UNIT_MEASURE,Value
2014,Завиност од увоза енергије,TOTAL,Проценат,28.209
2015,Завиност од увоза енергије,TOTAL,Проценат,33.693
2016,Завиност од увоза енергије,TOTAL,Проценат,31.518
2017,Завиност од увоза енергије,TOTAL,Проценат,34.031
2018,Завиност од увоза енергије,TOTAL,Проценат,24.263
2019,Завиност од увоза енергије,TOTAL,Проценат,27.377
2020,Завиност од увоза енергије,TOTAL,Проценат,25.398
2021,Завиност од увоза енергије,TOTAL,Проценат,27.151
2022,Завиност од увоза енергије,TOTAL,Проценат,26.281
2023,Завиност од увоза енергије,TOTAL,Проценат,24.836
2024,Завиност од увоза енергије,TOTAL,Проценат,27.796
2014,Завиност од увоза енергије,C0000X0350_0370,Проценат,17.258
2015,Завиност од увоза енергије,C0000X0350_0370,Проценат,17.839
2016,Завиност од увоза енергије,C0000X0350_0370,Проценат,14.941
2017,Завиност од увоза енергије,C0000X0350_0370,Проценат,17.657
2018,Завиност од увоза енергије,C0000X0350_0370,Проценат,14.883
2019,Завиност од увоза енергије,C0000X0350_0370,Проценат,19.768
2020,Завиност од увоза енергије,C0000X0350_0370,Проценат,15.417
2021,Завиност од увоза енергије,C0000X0350_0370,Проценат,19.305
2022,Завиност од увоза енергије,C0000X0350_0370,Проценат,11.67
2023,Завиност од увоза енергије,C0000X0350_0370,Проценат,10.416
2024,Завиност од увоза енергије,C0000X0350_0370,Проценат,7.834
2014,Завиност од увоза енергије,O4000XBIO,Проценат,96.591
2015,Завиност од увоза енергије,O4000XBIO,Проценат,104.76
2016,Завиност од увоза енергије,O4000XBIO,Проценат,104.837
2017,Завиност од увоза енергије,O4000XBIO,Проценат,100.316
2018,Завиност од увоза енергије,O4000XBIO,Проценат,97.049
2019,Завиност од увоза енергије,O4000XBIO,Проценат,93.188
2020,Завиност од увоза енергије,O4000XBIO,Проценат,99.811
2021,Завиност од увоза енергије,O4000XBIO,Проценат,96.236
2022,Завиност од увоза енергије,O4000XBIO,Проценат,99.965
2023,Завиност од увоза енергије,O4000XBIO,Проценат,99.93
2024,Завиност од увоза енергије,O4000XBIO,Проценат,100.346
2014,Завиност од увоза енергије,G3000,Проценат,100.0
2015,Завиност од увоза енергије,G3000,Проценат,100.0
2016,Завиност од увоза енергије,G3000,Проценат,100.0
2017,Завиност од увоза енергије,G3000,Проценат,100.0
2018,Завиност од увоза енергије,G3000,Проценат,100.011
2019,Завиност од увоза енергије,G3000,Проценат,100.0
2020,Завиност од увоза енергије,G3000,Проценат,100.0
2021,Завиност од увоза енергије,G3000,Проценат,100.021
2022,Завиност од увоза енергије,G3000,Проценат,99.979
2023,Завиност од увоза енергије,G3000,Проценат,100.003
2024,Завиност од увоза енергије,G3000,Проценат,100.012
