Year,SERIES,Радна снага и статус запослености,Године,UNIT_MEASURE,Value
2021,sdg_05_30,Запослене особе,од 20 до 64 године,PT,26.9
2022,sdg_05_30,Запослене особе,од 20 до 64 године,PT,27.7
2023,sdg_05_30,Запослене особе,од 20 до 64 године,PT,27.4
2024,sdg_05_30,Запослене особе,од 20 до 64 године,PT,27.6
2025,sdg_05_30,Запослене особе,од 20 до 64 године,PT,28.3
2021,sdg_05_30,Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,-0.7
2022,sdg_05_30,Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,0.0
2023,sdg_05_30,Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,-0.1
2024,sdg_05_30,Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,-0.4
2025,sdg_05_30,Запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,-1.8
2021,sdg_05_30,Запослене особе са привременим уговором,од 20 до 64 године,PT,-2.9
2022,sdg_05_30,Запослене особе са привременим уговором,од 20 до 64 године,PT,-2.8
2023,sdg_05_30,Запослене особе са привременим уговором,од 20 до 64 године,PT,-2.4
2024,sdg_05_30,Запослене особе са привременим уговором,од 20 до 64 године,PT,-2.1
2025,sdg_05_30,Запослене особе са привременим уговором,од 20 до 64 године,PT,-2.0
2021,sdg_05_30,Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,0.2
2022,sdg_05_30,Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,0.4
2023,sdg_05_30,Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,0.5
2024,sdg_05_30,Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,0.2
2025,sdg_05_30,Недовољно запослене особе које раде са скраћеним радним временом,од 20 до 64 године,PT,-0.2
