Year,SERIES,Статистичке информације,UNIT_MEASURE,Value
2014,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.35
2015,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.54
2016,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.33
2017,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.52
2018,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.33
2019,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,0.4
2020,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,2.68
2021,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,2.42
2022,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,3.04
2023,"Индекс експлоатације воде, плус (WEI+)",Годишња вриједност,Проценат,1.83
2014,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.58
2015,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.52
2016,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.43
2017,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.43
2018,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.43
2019,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.39
2020,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,0.98
2021,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,1.46
2022,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,2.13
2023,"Индекс експлоатације воде, плус (WEI+)",Четворогодишњи просjек,Проценат,2.49
