Year,SERIES,UNIT_MEASURE,Value
2014,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.24
2015,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.27
2016,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.14
2017,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.21
2018,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.08
2019,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.21
2020,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.18
2021,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.26
2022,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.37
2023,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.54
2024,Енергетска продуктивност,Евро по килограму еквивалента нафте (KGOE),2.64
2014,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.75
2015,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.85
2016,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.6
2017,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.75
2018,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.56
2019,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.94
2020,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,4.85
2021,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,5.13
2022,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,5.86
2023,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,6.69
2024,Енергетска продуктивност,Стандард куповне моћи (PPS) по килограму еквивалента нафте,7.21
