Year,SERIES,Пол,Године,UNIT_MEASURE,Value
2021,sdg_08_20,Оба пола,Од 15 до 29 година,PC,25.1
2022,sdg_08_20,Оба пола,Од 15 до 29 година,PC,23.5
2023,sdg_08_20,Оба пола,Од 15 до 29 година,PC,22.2
2024,sdg_08_20,Оба пола,Од 15 до 29 година,PC,20.1
2025,sdg_08_20,Оба пола,Од 15 до 29 година,PC,20.0
2021,sdg_08_20,Мушкарци,Од 15 до 29 година,PC,21.6
2022,sdg_08_20,Мушкарци,Од 15 до 29 година,PC,19.8
2023,sdg_08_20,Мушкарци,Од 15 до 29 година,PC,18.8
2024,sdg_08_20,Мушкарци,Од 15 до 29 година,PC,16.6
2025,sdg_08_20,Мушкарци,Од 15 до 29 година,PC,16.4
2021,sdg_08_20,Жене,Од 15 до 29 година,PC,28.8
2022,sdg_08_20,Жене,Од 15 до 29 година,PC,27.4
2023,sdg_08_20,Жене,Од 15 до 29 година,PC,25.9
2024,sdg_08_20,Жене,Од 15 до 29 година,PC,23.8
2025,sdg_08_20,Жене,Од 15 до 29 година,PC,23.9
