Year,Value,UNIT_MEASURE,SERIES
2014,5.9,Милион тона еквивалента nafte,Примарна потрошња енергије
2015,6.1,Милион тона еквивалента nafte,Примарна потрошња енергије
2016,6.7,Милион тона еквивалента nafte,Примарна потрошња енергије
2017,6.7,Милион тона еквивалента nafte,Примарна потрошња енергије
2018,7.4,Милион тона еквивалента nafte,Примарна потрошња енергије
2019,7.1,Милион тона еквивалента nafte,Примарна потрошња енергије
2020,7.0,Милион тона еквивалента nafte,Примарна потрошња енергије
2021,7.3,Милион тона еквивалента nafte,Примарна потрошња енергије
2022,7.2,Милион тона еквивалента nafte,Примарна потрошња енергије
2023,6.9,Милион тона еквивалента nafte,Примарна потрошња енергије
2024,6.8,Милион тона еквивалента nafte,Примарна потрошња енергије
2014,1.55,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2015,1.66,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2016,1.9,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2017,1.91,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2018,2.11,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2022,2.09,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2023,2.0,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2024,2.0,Тоне еквивалента нафте (TOE) по глави становника,Примарна потрошња енергије
2014,3.1,Милион тона еквивалента nafte,Финална потрошња енергије
2015,3.3,Милион тона еквивалента nafte,Финална потрошња енергије
2016,3.6,Милион тона еквивалента nafte,Финална потрошња енергије
2017,3.5,Милион тона еквивалента nafte,Финална потрошња енергије
2018,4.2,Милион тона еквивалента nafte,Финална потрошња енергије
2019,4.2,Милион тона еквивалента nafte,Финална потрошња енергије
2020,4.0,Милион тона еквивалента nafte,Финална потрошња енергије
2021,4.3,Милион тона еквивалента nafte,Финална потрошња енергије
2022,4.3,Милион тона еквивалента nafte,Финална потрошња енергије
2023,4.2,Милион тона еквивалента nafte,Финална потрошња енергије
2024,4.4,Милион тона еквивалента nafte,Финална потрошња енергије
2014,0.81,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2015,0.9,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2016,1.01,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2017,1.0,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2018,1.21,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2022,1.25,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2023,1.22,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
2024,1.28,Тоне еквивалента нафте (TOE) по глави становника,Финална потрошња енергије
