Year,SERIES,Reason,AGE,SEX,UNIT_MEASURE,Value
2021,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC,0.3
2022,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC,0.3
2023,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC,0.3
2024,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC,0.2
2025,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC,0.2
2021,sdg_05_40,FAM_CARE,Y20_64,F,PC,0.6
2022,sdg_05_40,FAM_CARE,Y20_64,F,PC,0.7
2023,sdg_05_40,FAM_CARE,Y20_64,F,PC,0.6
2024,sdg_05_40,FAM_CARE,Y20_64,F,PC,0.3
2025,sdg_05_40,FAM_CARE,Y20_64,F,PC,0.3
2021,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC_INAC_WWRK,9.6
2022,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC_INAC_WWRK,10.2
2023,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC_INAC_WWRK,9.8
2024,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC_INAC_WWRK,5.9
2025,sdg_05_40,FAM_CARE,Y20_64,BOTHSEX,PC_INAC_WWRK,6.2
2021,sdg_05_40,FAM_CARE,Y20_64,F,PC_INAC_WWRK,14.9
2022,sdg_05_40,FAM_CARE,Y20_64,F,PC_INAC_WWRK,16.2
2023,sdg_05_40,FAM_CARE,Y20_64,F,PC_INAC_WWRK,15.9
2024,sdg_05_40,FAM_CARE,Y20_64,F,PC_INAC_WWRK,9.5
2025,sdg_05_40,FAM_CARE,Y20_64,F,PC_INAC_WWRK,9.2
