Year,SERIES,INDIC_PPP,UNIT_MEASURE,Value
2016,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,8.9
2017,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.2
2018,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.8
2019,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,10.2
2020,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,9.9
2021,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,11.0
2022,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,12.5
2023,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,13.6
2024,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,14.6
2025,sdg_10_10,EXP_PPS_EU27_2020_HAB,PT,15.1
2016,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,31.0
2017,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,31.0
2018,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,32.0
2019,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,32.0
2020,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,33.0
2021,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,33.0
2022,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,35.0
2023,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,35.0
2024,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,37.0
2025,sdg_10_10,VI_PPS_EU27_2020_HAB,PT,36.0
