Year,SERIES,UNIT_MEASURE,Value
2010,sdg_13_10,T_HAB,5.55
2011,sdg_13_10,T_HAB,6.35
2012,sdg_13_10,T_HAB,6.03
2013,sdg_13_10,T_HAB,6.03
2014,sdg_13_10,T_HAB,5.42
2015,sdg_13_10,T_HAB,5.25
2016,sdg_13_10,T_HAB,6.26
2017,sdg_13_10,T_HAB,6.46
2018,sdg_13_10,T_HAB,6.52
2019,sdg_13_10,T_HAB,6.22
2020,sdg_13_10,T_HAB,6.31
2021,sdg_13_10,T_HAB,6.55
2022,sdg_13_10,T_HAB,6.47
2023,sdg_13_10,T_HAB,6.24
2024,sdg_13_10,T_HAB,6.14
2010,sdg_13_10,MT_CO2E,21.15
2011,sdg_13_10,MT_CO2E,23.75
2012,sdg_13_10,MT_CO2E,22.14
2013,sdg_13_10,MT_CO2E,21.8
2014,sdg_13_10,MT_CO2E,19.31
2015,sdg_13_10,MT_CO2E,18.46
2016,sdg_13_10,MT_CO2E,21.73
2017,sdg_13_10,MT_CO2E,22.15
2018,sdg_13_10,MT_CO2E,22.08
2019,sdg_13_10,MT_CO2E,20.81
2020,sdg_13_10,MT_CO2E,20.83
2021,sdg_13_10,MT_CO2E,21.27
2022,sdg_13_10,MT_CO2E,20.74
2023,sdg_13_10,MT_CO2E,19.88
2024,sdg_13_10,MT_CO2E,19.43
