Year,SERIES,SEX,UNIT_MEASURE,Value
2012,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.8
2013,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.7
2014,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.7
2015,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.7
2016,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.6
2017,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.6
2018,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.5
2019,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.5
2020,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.4
2021,sdg_16_10,BOTHSEX,RT_PER_100000_POP,1.4
2012,sdg_16_10,M,RT_PER_100000_POP,2.7
2013,sdg_16_10,M,RT_PER_100000_POP,2.6
2014,sdg_16_10,M,RT_PER_100000_POP,2.6
2015,sdg_16_10,M,RT_PER_100000_POP,2.6
2016,sdg_16_10,M,RT_PER_100000_POP,2.4
2017,sdg_16_10,M,RT_PER_100000_POP,2.4
2018,sdg_16_10,M,RT_PER_100000_POP,2.3
2019,sdg_16_10,M,RT_PER_100000_POP,2.2
2020,sdg_16_10,M,RT_PER_100000_POP,2.0
2021,sdg_16_10,M,RT_PER_100000_POP,2.0
2012,sdg_16_10,F,RT_PER_100000_POP,0.9
2013,sdg_16_10,F,RT_PER_100000_POP,0.9
2014,sdg_16_10,F,RT_PER_100000_POP,0.9
2015,sdg_16_10,F,RT_PER_100000_POP,0.9
2016,sdg_16_10,F,RT_PER_100000_POP,0.9
2017,sdg_16_10,F,RT_PER_100000_POP,0.8
2018,sdg_16_10,F,RT_PER_100000_POP,0.8
2019,sdg_16_10,F,RT_PER_100000_POP,0.8
2020,sdg_16_10,F,RT_PER_100000_POP,0.8
2021,sdg_16_10,F,RT_PER_100000_POP,0.8
