Year,SERIES,Labour_force_and_employment_status,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_04_10,POP,BOTHSEX,Y18_24,PT,4.7
2022,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.6
2023,sdg_04_10,POP,BOTHSEX,Y18_24,PT,4.2
2024,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.8
2025,sdg_04_10,POP,BOTHSEX,Y18_24,PT,3.0
2021,sdg_04_10,POP,M,Y18_24,PT,4.9
2022,sdg_04_10,POP,M,Y18_24,PT,3.9
2023,sdg_04_10,POP,M,Y18_24,PT,5.2
2024,sdg_04_10,POP,M,Y18_24,PT,5.0
2025,sdg_04_10,POP,M,Y18_24,PT,2.9
2021,sdg_04_10,POP,F,Y18_24,PT,4.4
2022,sdg_04_10,POP,F,Y18_24,PT,3.3
2023,sdg_04_10,POP,F,Y18_24,PT,3.1
2024,sdg_04_10,POP,F,Y18_24,PT,2.5
2025,sdg_04_10,POP,F,Y18_24,PT,3.0
2021,sdg_04_10,EMP,BOTHSEX,Y18_24,PT,1.3
2022,sdg_04_10,EMP,BOTHSEX,Y18_24,PT,0.7
2023,sdg_04_10,EMP,BOTHSEX,Y18_24,PT,0.8
2024,sdg_04_10,EMP,BOTHSEX,Y18_24,PT,0.8
2025,sdg_04_10,EMP,BOTHSEX,Y18_24,PT,0.6
2021,sdg_04_10,EMP,M,Y18_24,PT,2.1
2022,sdg_04_10,EMP,M,Y18_24,PT,1.4
2023,sdg_04_10,EMP,M,Y18_24,PT,1.4
2024,sdg_04_10,EMP,M,Y18_24,PT,1.2
2025,sdg_04_10,EMP,M,Y18_24,PT,
2021,sdg_04_10,EMP,F,Y18_24,PT,
2022,sdg_04_10,EMP,F,Y18_24,PT,
2023,sdg_04_10,EMP,F,Y18_24,PT,
2024,sdg_04_10,EMP,F,Y18_24,PT,
2025,sdg_04_10,EMP,F,Y18_24,PT,0.8
2021,sdg_04_10,NEMP,BOTHSEX,Y18_24,PT,3.4
2022,sdg_04_10,NEMP,BOTHSEX,Y18_24,PT,2.9
2023,sdg_04_10,NEMP,BOTHSEX,Y18_24,PT,3.3
2024,sdg_04_10,NEMP,BOTHSEX,Y18_24,PT,3.0
2025,sdg_04_10,NEMP,BOTHSEX,Y18_24,PT,2.4
2021,sdg_04_10,NEMP,M,Y18_24,PT,2.8
2022,sdg_04_10,NEMP,M,Y18_24,PT,2.5
2023,sdg_04_10,NEMP,M,Y18_24,PT,3.7
2024,sdg_04_10,NEMP,M,Y18_24,PT,3.8
2025,sdg_04_10,NEMP,M,Y18_24,PT,2.5
2021,sdg_04_10,NEMP,F,Y18_24,PT,3.9
2022,sdg_04_10,NEMP,F,Y18_24,PT,3.3
2023,sdg_04_10,NEMP,F,Y18_24,PT,2.9
2024,sdg_04_10,NEMP,F,Y18_24,PT,2.1
2025,sdg_04_10,NEMP,F,Y18_24,PT,2.2
2021,sdg_04_10,WANT,BOTHSEX,Y18_24,PT,1.3
2022,sdg_04_10,WANT,BOTHSEX,Y18_24,PT,1.0
2023,sdg_04_10,WANT,BOTHSEX,Y18_24,PT,1.0
2024,sdg_04_10,WANT,BOTHSEX,Y18_24,PT,0.8
2025,sdg_04_10,WANT,BOTHSEX,Y18_24,PT,0.4
2021,sdg_04_10,WANT,M,Y18_24,PT,1.4
2022,sdg_04_10,WANT,M,Y18_24,PT,0.7
2023,sdg_04_10,WANT,M,Y18_24,PT,1.3
2024,sdg_04_10,WANT,M,Y18_24,PT,1.4
2025,sdg_04_10,WANT,M,Y18_24,PT,
2021,sdg_04_10,WANT,F,Y18_24,PT,1.3
2022,sdg_04_10,WANT,F,Y18_24,PT,1.4
2023,sdg_04_10,WANT,F,Y18_24,PT,0.7
2024,sdg_04_10,WANT,F,Y18_24,PT,
2025,sdg_04_10,WANT,F,Y18_24,PT,
2021,sdg_04_10,NWANT,BOTHSEX,Y18_24,PT,2.0
2022,sdg_04_10,NWANT,BOTHSEX,Y18_24,PT,1.9
2023,sdg_04_10,NWANT,BOTHSEX,Y18_24,PT,2.3
2024,sdg_04_10,NWANT,BOTHSEX,Y18_24,PT,2.2
2025,sdg_04_10,NWANT,BOTHSEX,Y18_24,PT,2.0
2021,sdg_04_10,NWANT,M,Y18_24,PT,1.4
2022,sdg_04_10,NWANT,M,Y18_24,PT,1.8
2023,sdg_04_10,NWANT,M,Y18_24,PT,2.4
2024,sdg_04_10,NWANT,M,Y18_24,PT,2.3
2025,sdg_04_10,NWANT,M,Y18_24,PT,2.0
2021,sdg_04_10,NWANT,F,Y18_24,PT,2.7
2022,sdg_04_10,NWANT,F,Y18_24,PT,2.0
2023,sdg_04_10,NWANT,F,Y18_24,PT,2.2
2024,sdg_04_10,NWANT,F,Y18_24,PT,2.0
2025,sdg_04_10,NWANT,F,Y18_24,PT,2.0
