Year,SERIES,Standard_international_energy_product_ classification,UNIT_MEASURE,Value
2014,sdg_07_50,TOTAL,PT,28.209
2015,sdg_07_50,TOTAL,PT,33.693
2016,sdg_07_50,TOTAL,PT,31.518
2017,sdg_07_50,TOTAL,PT,34.031
2018,sdg_07_50,TOTAL,PT,24.263
2019,sdg_07_50,TOTAL,PT,27.377
2020,sdg_07_50,TOTAL,PT,25.398
2021,sdg_07_50,TOTAL,PT,27.151
2022,sdg_07_50,TOTAL,PT,26.281
2023,sdg_07_50,TOTAL,PT,24.836
2024,sdg_07_50,TOTAL,PT,27.796
2014,sdg_07_50,C0000X0350_0370,PT,17.258
2015,sdg_07_50,C0000X0350_0370,PT,17.839
2016,sdg_07_50,C0000X0350_0370,PT,14.941
2017,sdg_07_50,C0000X0350_0370,PT,17.657
2018,sdg_07_50,C0000X0350_0370,PT,14.883
2019,sdg_07_50,C0000X0350_0370,PT,19.768
2020,sdg_07_50,C0000X0350_0370,PT,15.417
2021,sdg_07_50,C0000X0350_0370,PT,19.305
2022,sdg_07_50,C0000X0350_0370,PT,11.67
2023,sdg_07_50,C0000X0350_0370,PT,10.416
2024,sdg_07_50,C0000X0350_0370,PT,7.834
2014,sdg_07_50,O4000XBIO,PT,96.591
2015,sdg_07_50,O4000XBIO,PT,104.76
2016,sdg_07_50,O4000XBIO,PT,104.837
2017,sdg_07_50,O4000XBIO,PT,100.316
2018,sdg_07_50,O4000XBIO,PT,97.049
2019,sdg_07_50,O4000XBIO,PT,93.188
2020,sdg_07_50,O4000XBIO,PT,99.811
2021,sdg_07_50,O4000XBIO,PT,96.236
2022,sdg_07_50,O4000XBIO,PT,99.965
2023,sdg_07_50,O4000XBIO,PT,99.93
2024,sdg_07_50,O4000XBIO,PT,100.346
2014,sdg_07_50,G3000,PT,100.0
2015,sdg_07_50,G3000,PT,100.0
2016,sdg_07_50,G3000,PT,100.0
2017,sdg_07_50,G3000,PT,100.0
2018,sdg_07_50,G3000,PT,100.011
2019,sdg_07_50,G3000,PT,100.0
2020,sdg_07_50,G3000,PT,100.0
2021,sdg_07_50,G3000,PT,100.021
2022,sdg_07_50,G3000,PT,99.979
2023,sdg_07_50,G3000,PT,100.003
2024,sdg_07_50,G3000,PT,100.012
