Year,SERIES,SEX,AGE,UNIT_MEASURE,Value
2021,sdg_08_30,BOTHSEX,Y20_64,PC,52.6
2022,sdg_08_30,BOTHSEX,Y20_64,PC,53.9
2023,sdg_08_30,BOTHSEX,Y20_64,PC,55.9
2024,sdg_08_30,BOTHSEX,Y20_64,PC,58.2
2025,sdg_08_30,BOTHSEX,Y20_64,PC,59.5
2021,sdg_08_30,M,Y20_64,PC,66.0
2022,sdg_08_30,M,Y20_64,PC,67.7
2023,sdg_08_30,M,Y20_64,PC,69.5
2024,sdg_08_30,M,Y20_64,PC,71.9
2025,sdg_08_30,M,Y20_64,PC,73.5
2021,sdg_08_30,F,Y20_64,PC,39.1
2022,sdg_08_30,F,Y20_64,PC,40.0
2023,sdg_08_30,F,Y20_64,PC,42.1
2024,sdg_08_30,F,Y20_64,PC,44.3
2025,sdg_08_30,F,Y20_64,PC,45.2
