Year,Value,UNIT_MEASURE,SERIES
2014,2.24,EUR_KGOE,sdg_07_30
2015,2.27,EUR_KGOE,sdg_07_30
2016,2.14,EUR_KGOE,sdg_07_30
2017,2.21,EUR_KGOE,sdg_07_30
2018,2.08,EUR_KGOE,sdg_07_30
2019,2.21,EUR_KGOE,sdg_07_30
2020,2.18,EUR_KGOE,sdg_07_30
2021,2.26,EUR_KGOE,sdg_07_30
2022,2.37,EUR_KGOE,sdg_07_30
2023,2.54,EUR_KGOE,sdg_07_30
2024,2.64,EUR_KGOE,sdg_07_30
2014,4.75,PPS_KGOE,sdg_07_30
2015,4.85,PPS_KGOE,sdg_07_30
2016,4.6,PPS_KGOE,sdg_07_30
2017,4.75,PPS_KGOE,sdg_07_30
2018,4.56,PPS_KGOE,sdg_07_30
2019,4.94,PPS_KGOE,sdg_07_30
2020,4.85,PPS_KGOE,sdg_07_30
2021,5.13,PPS_KGOE,sdg_07_30
2022,5.86,PPS_KGOE,sdg_07_30
2023,6.69,PPS_KGOE,sdg_07_30
2024,7.21,PPS_KGOE,sdg_07_30
